image_path,datetime,species_label,probability,station_id
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251112_130.JPEG,2025-11-12 18:22:44,red deer,0.99,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251112_131.JPEG,2025-11-12 18:22:47,red deer,0.99,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251112_132.JPEG,2025-11-12 18:22:49,red deer,0.99,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251112_133.JPEG,2025-11-12 18:22:51,red deer,0.99,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251112_134.JPEG,2025-11-12 18:22:54,red deer,0.99,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251112_135.JPEG,2025-11-12 18:22:56,red deer,0.99,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251114_136.JPEG,2025-11-14 01:50:33,red deer,0.98,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251114_137.JPEG,2025-11-14 01:50:36,red deer,0.99,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251114_138.JPEG,2025-11-14 01:50:38,red deer,1.0,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251114_139.JPEG,2025-11-14 13:41:58,red deer,0.38,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251102_58.JPEG,2025-11-02 23:17:01,fox,0.99,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251102_59.JPEG,2025-11-02 23:17:01,fox,0.99,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251102_60.JPEG,2025-11-02 23:17:02,fox,0.94,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_61.JPEG,2025-11-05 07:47:39,red deer,0.99,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_62.JPEG,2025-11-05 07:47:39,red deer,0.99,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_63.JPEG,2025-11-05 07:47:39,red deer,0.99,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_64.JPEG,2025-11-05 07:47:41,red deer,0.99,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_65.JPEG,2025-11-05 07:47:41,red deer,0.99,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_66.JPEG,2025-11-05 07:47:41,red deer,0.98,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_67.JPEG,2025-11-05 07:47:42,red deer,0.99,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_69.JPEG,2025-11-05 07:47:43,red deer,0.98,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_68.JPEG,2025-11-05 07:47:43,red deer,0.99,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_70.JPEG,2025-11-05 07:47:45,red deer,0.34,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_71.JPEG,2025-11-05 07:47:45,red deer,0.49,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_72.JPEG,2025-11-05 07:47:46,red deer,0.74,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_73.JPEG,2025-11-05 07:47:47,red deer,0.97,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_74.JPEG,2025-11-05 07:47:47,red deer,0.99,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_75.JPEG,2025-11-05 07:47:47,red deer,0.99,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_76.JPEG,2025-11-05 07:47:49,red deer,0.99,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_77.JPEG,2025-11-05 07:47:49,red deer,0.99,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_78.JPEG,2025-11-05 07:47:49,red deer,0.99,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_81.JPEG,2025-11-05 07:47:51,red deer,0.99,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_79.JPEG,2025-11-05 07:47:51,red deer,0.99,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_80.JPEG,2025-11-05 07:47:51,red deer,0.99,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_82.JPEG,2025-11-05 07:47:53,red deer,0.99,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_83.JPEG,2025-11-05 07:47:53,red deer,0.99,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_84.JPEG,2025-11-05 07:47:53,red deer,0.99,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_85.JPEG,2025-11-05 07:47:55,red deer,0.99,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_86.JPEG,2025-11-05 07:47:55,red deer,0.99,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_87.JPEG,2025-11-05 07:47:55,red deer,0.99,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_88.JPEG,2025-11-05 07:47:56,red deer,0.98,r0039-dona_0071
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0071/R0039-DONA_0071__20251105_90.JPEG,2025-11-05 07:47:57,red deer,1.0,r0039-dona_0071
